Sales,Time,MktPoten,Adver,MktShare,Change
3669.88,43.1,74065.11,4582.88,2.51,.34
3473.95,108.13,58117.3,5539.78,5.51,.15
2295.1,13.82,21118.49,2950.38,10.91,-.72
4675.56,186.18,68521.27,2243.07,8.27,.17
6125.96,161.79,57805.11,7747.08,9.15,.5
2134.94,8.94,37806.94,402.44,5.51,.15
5031.66,365.04,50935.26,3140.62,8.54,.55
3367.45,220.32,35602.08,2086.16,7.07,-.49
6519.45,127.64,46176.77,8846.25,12.54,1.24
4876.37,105.69,42053.24,5673.11,8.85,.31
2468.27,57.72,36829.71,2761.76,5.38,.37
2533.31,23.58,33612.67,1991.85,5.43,-.65
2408.11,13.82,21412.79,1971.52,8.48,.64
2337.38,13.82,20416.87,1737.38,7.8,1.01
4586.95,86.99,36272,10694.2,10.34,.11
2729.24,165.85,23093.26,8618.61,5.15,.04
3289.4,116.26,26878.59,7747.89,6.64,.68
2800.78,42.28,39571.96,4565.81,5.45,.66
3264.2,52.84,51866.15,6022.7,6.31,-.1
3453.62,165.04,58749.82,3721.1,6.35,-.03
1741.45,10.57,23990.82,860.97,7.37,-1.63
2035.75,13.82,25694.86,3571.51,8.39,-.43
1578,8.13,23736.35,2845.5,5.15,.04
4167.44,58.54,34314.29,5060.11,12.88,.22
2799.97,21.14,22809.53,3552,9.14,-.74
